AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Paramathi - Velur,95,GEN,Namakkal,MOORTHIY K S,Dravida Munetra Kazhagam,,175306,,818,0.5%
Tiruchengodu,96,GEN,Namakkal,SARASWATHI PON,All India Anna Dravida Munnetra Kazhagam,,176564,,3390,1.9%
Kumarapalayam,97,GEN,Namakkal,THANGAMANI P,All India Anna Dravida Munnetra Kazhagam,,186652,,47329,25.4%
Erode (East),98,GEN,Erode,THENNARASU K S,All India Anna Dravida Munnetra Kazhagam,,148018,,7794,5.3%
Erode (West),99,GEN,Erode,RAMALINGAM K.V.,All India Anna Dravida Munnetra Kazhagam,,189367,,4906,2.6%
Modakkurichi,100,GEN,Erode,"SIVASUBRAMANI , V.P.",All India Anna Dravida Munnetra Kazhagam,,176668,,2222,1.3%
Dharapuram,101,SC,Erode,KALIMUTHU. V.S,Indian National Congress,,182911,,10017,5.5%
Kangayam,102,GEN,Erode,THANIYARASU U,All India Anna Dravida Munnetra Kazhagam,,184428,,13135,7.1%
Perundurai,103,GEN,Erode,VENKATACHALAM.N.D,All India Anna Dravida Munnetra Kazhagam,,182263,,12771,7.0%
Bhavani,104,GEN,Erode,KARUPPANAN K C,All India Anna Dravida Munnetra Kazhagam,,188950,,24887,13.2%
Anthiyur,105,GEN,Erode,RAJAKRISHNAN.K.R,All India Anna Dravida Munnetra Kazhagam,,169581,,5312,3.1%
Gobichettipalayam,106,GEN,Erode,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,,204628,,11223,5.5%
Bhavanisagar,107,SC,Erode,ESWARAN.S,All India Anna Dravida Munnetra Kazhagam,,196551,,13104,6.7%
Udhagamandalam,108,GEN,The Nilgiris,"GANESH, R.",Indian National Congress,,140155,,10418,7.4%
Gudalur,109,SC,The Nilgiris,"THIRAVIDAMANI,M.",Dravida Munetra Kazhagam,,131095,,13379,10.2%
Coonoor,110,GEN,The Nilgiris,"RAMU, A.",All India Anna Dravida Munnetra Kazhagam,,134870,,3710,2.8%
Mettuppalayam,111,GEN,Coimbatore,CHINNARAJ.O.K,All India Anna Dravida Munnetra Kazhagam,,210761,,16114,7.6%
Avanashi,112,SC,Coimbatore,DHANAPAL P,All India Anna Dravida Munnetra Kazhagam,,194062,,30674,15.8%
Tiruppur (North),113,GEN,Coimbatore,VIJAYAKUMAR KN,All India Anna Dravida Munnetra Kazhagam,,219761,,37774,17.2%
Tiruppur (South),114,GEN,Coimbatore,GUNASEKARAN S,All India Anna Dravida Munnetra Kazhagam,,164166,,15933,9.7%
Palladam,115,GEN,Coimbatore,NATARAJAN. A,All India Anna Dravida Munnetra Kazhagam,,237966,,32174,13.5%
Sulur,116,GEN,Coimbatore,"KANAGARAJ, R.",All India Anna Dravida Munnetra Kazhagam,,213112,,36631,17.2%
Kavundampalayam,117,GEN,Coimbatore,"ARUKUTTY, V.C.",All India Anna Dravida Munnetra Kazhagam,,272400,,8025,2.9%
Coimbatore (North),118,GEN,Coimbatore,"ARUN KUMAR, P.R.G.",All India Anna Dravida Munnetra Kazhagam,,188882,,7724,4.1%
Thondamuthur,119,GEN,Coimbatore,"VELUMANI,S.P.",All India Anna Dravida Munnetra Kazhagam,,199100,,64041,32.2%
Coimbatore (South),120,GEN,Coimbatore,"ARJUNAN @ AMMAN ARJUNAN,K.",All India Anna Dravida Munnetra Kazhagam,,153533,,17419,11.3%
Singanallur,121,GEN,Coimbatore,"KARTHIK, N.",Dravida Munetra Kazhagam,,188531,,5180,2.7%
Kinathukadavu,122,GEN,Coimbatore,"SHANMUGAM, A.",All India Anna Dravida Munnetra Kazhagam,,207989,,1332,0.6%
Pollachi,123,GEN,Coimbatore,POLLACHI V JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,,168616,,13368,7.9%
Valparai,124,SC,Coimbatore,"KASTHURI VASU, V.",All India Anna Dravida Munnetra Kazhagam,,143743,,8244,5.7%
Udumalaipettai,125,GEN,Coimbatore,RADHAKRISHNAN K,All India Anna Dravida Munnetra Kazhagam,,182917,,5687,3.1%
